"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 29, 2021","26.995","26.740","27.770","26.295","1.96K","3.77%"
"Jan 28, 2021","26.014","25.190","27.000","25.125","1.92K","2.04%"
"Jan 27, 2021","25.495","25.535","25.555","24.855","1.15K","-0.58%"
"Jan 26, 2021","25.644","25.490","25.725","25.420","0.56K","0.21%"
"Jan 25, 2021","25.590","25.700","25.900","25.470","0.50K","-0.10%"
"Jan 24, 2021","25.615","25.497","25.680","25.455","-","-0.16%"
"Jan 22, 2021","25.657","25.705","25.760","25.255","0.38K","-1.17%"
"Jan 21, 2021","25.962","25.990","26.175","25.825","0.45K","0.33%"
"Jan 20, 2021","25.876","25.540","26.030","25.420","1.23K","1.71%"
"Jan 19, 2021","25.440","24.790","25.475","24.400","0.60K","1.58%"
"Jan 18, 2021","25.045","24.250","25.200","24.250","-","3.27%"
"Jan 17, 2021","24.253","24.812","24.890","24.220","-","-2.95%"
"Jan 15, 2021","24.989","25.730","25.730","24.765","1.32K","-3.63%"
"Jan 14, 2021","25.930","25.520","25.985","25.250","0.86K","0.90%"
"Jan 13, 2021","25.699","25.820","25.820","25.345","0.53K","0.52%"
"Jan 12, 2021","25.567","25.240","25.850","25.220","1.11K","0.61%"
"Jan 11, 2021","25.412","25.105","25.470","24.695","1.58K","1.11%"
"Jan 10, 2021","25.133","25.358","25.590","24.915","-","1.45%"
"Jan 08, 2021","24.773","27.390","27.390","24.715","1.25K","-9.59%"
"Jan 07, 2021","27.402","27.425","27.585","27.275","0.46K","0.77%"
"Jan 06, 2021","27.192","27.820","28.250","26.985","0.68K","-2.16%"
"Jan 05, 2021","27.792","27.470","27.990","27.470","0.57K","1.02%"
"Jan 04, 2021","27.512","27.225","27.860","27.035","1.34K","1.87%"
"Jan 03, 2021","27.008","26.560","27.085","26.552","-","1.82%"
"Jan 01, 2021","26.525","26.525","26.525","26.525","-","-0.03%"
"Dec 31, 2020","26.533","26.905","26.915","26.480","0.18K","-0.61%"
"Dec 30, 2020","26.696","26.415","26.780","26.415","0.39K","1.37%"
"Dec 29, 2020","26.336","26.765","26.765","26.250","0.25K","-1.20%"
"Dec 28, 2020","26.656","26.375","27.010","26.375","0.32K","1.37%"
"Dec 27, 2020","26.295","25.910","26.305","25.910","-","1.04%"
"Dec 24, 2020","26.024","26.100","26.130","25.665","0.20K","-0.02%"
"Dec 23, 2020","26.030","25.580","26.040","25.430","0.73K","1.53%"
"Dec 22, 2020","25.638","26.595","26.595","25.400","1.18K","-3.17%"
"Dec 21, 2020","26.478","26.270","27.460","25.275","0.47K","1.78%"
"Dec 20, 2020","26.015","26.075","26.075","26.005","-","-0.44%"
"Dec 18, 2020","26.129","26.190","26.225","26.010","0.62K","-0.59%"
"Dec 17, 2020","26.285","25.580","26.370","25.580","0.54K","4.49%"
"Dec 16, 2020","25.155","24.750","25.585","24.750","0.46K","1.69%"
"Dec 15, 2020","24.737","24.260","24.755","24.245","0.58K","2.48%"
"Dec 14, 2020","24.139","24.220","24.375","24.055","0.58K","0.27%"
"Dec 13, 2020","24.073","24.062","24.165","24.038","-","-0.43%"
"Dec 11, 2020","24.177","24.185","24.250","24.005","1.29K","-0.02%"
"Dec 10, 2020","24.181","24.015","24.345","24.015","1.46K","0.38%"
"Dec 09, 2020","24.090","24.500","24.555","23.805","1.51K","-3.00%"
"Dec 08, 2020","24.836","24.900","24.975","24.725","1.58K","-0.32%"
"Dec 07, 2020","24.916","24.250","25.020","23.785","0.93K","2.73%"
"Dec 06, 2020","24.255","24.285","24.365","24.215","-","-0.51%"
"Dec 04, 2020","24.379","24.485","24.600","24.235","0.34K","0.52%"
"Dec 03, 2020","24.254","24.160","24.515","24.045","0.35K","0.22%"
"Dec 02, 2020","24.201","24.100","24.525","23.855","0.59K","-0.09%"
"Dec 01, 2020","24.222","23.060","24.300","23.060","0.63K","6.57%"
"Nov 30, 2020","22.729","22.305","22.880","22.285","0.58K","-0.03%"
"Nov 29, 2020","22.735","22.780","22.785","22.727","-","-0.25%"
"Nov 27, 2020","22.792","23.690","23.690","22.605","0.37K","-1.82%"
"Nov 26, 2020","23.215","23.395","23.505","23.190","-","-1.63%"
"Nov 25, 2020","23.600","23.570","23.795","23.555","0.25K","0.15%"
"Nov 24, 2020","23.565","23.605","23.745","23.205","0.58K","-1.43%"
"Nov 23, 2020","23.906","24.540","24.615","23.770","0.28K","-1.46%"
"Nov 22, 2020","24.260","24.207","24.262","24.148","-","-1.51%"
"Nov 20, 2020","24.631","24.340","24.780","24.340","0.58K","1.33%"
"Nov 19, 2020","24.308","24.625","24.625","24.000","0.29K","-1.64%"
"Nov 18, 2020","24.714","24.725","24.885","24.575","0.16K","-0.81%"
"Nov 17, 2020","24.917","24.910","25.050","24.775","0.29K","-0.64%"
"Nov 16, 2020","25.078","25.350","25.365","24.685","0.10K","1.22%"
"Nov 15, 2020","24.775","24.738","24.830","24.725","-","-1.21%"
"Nov 13, 2020","25.079","24.680","25.115","24.680","0.43K","1.89%"
"Nov 12, 2020","24.614","24.660","24.770","24.515","0.85K","0.19%"
"Nov 11, 2020","24.568","24.780","24.780","24.200","1.02K","-0.83%"
"Nov 10, 2020","24.773","24.350","24.885","24.350","1.50K","3.20%"
"Nov 09, 2020","24.004","26.350","26.420","23.950","1.05K","-7.87%"
"Nov 08, 2020","26.055","25.710","26.130","25.710","-","0.27%"
"Nov 06, 2020","25.984","25.650","26.245","25.360","1.66K","1.92%"
"Nov 05, 2020","25.495","24.615","25.840","24.615","0.80K","5.29%"
"Nov 04, 2020","24.213","24.000","24.535","23.875","0.79K","-1.88%"
"Nov 03, 2020","24.676","24.715","24.755","24.630","0.52K","1.11%"
"Nov 02, 2020","24.404","24.010","24.525","24.010","0.66K","3.81%"
"Nov 01, 2020","23.508","23.695","23.715","23.462","-","-2.05%"
"Oct 30, 2020","24.001","23.825","24.210","23.825","0.25K","1.23%"
"Oct 29, 2020","23.709","23.650","23.930","23.050","0.49K","0.09%"
"Oct 28, 2020","23.688","24.690","24.745","23.545","0.09K","-4.87%"
"Oct 27, 2020","24.901","24.935","25.075","24.675","0.13K","0.55%"
"Oct 26, 2020","24.764","24.590","24.880","24.545","0.11K","0.97%"
"Oct 25, 2020","24.525","24.672","24.740","24.247","-","-2.00%"
"Oct 23, 2020","25.026","25.100","25.215","24.970","0.04K","-0.19%"
"Oct 22, 2020","25.073","25.425","25.425","25.290","0.15K","-2.06%"
"Oct 21, 2020","25.600","25.590","25.760","25.425","0.21K","0.97%"
"Oct 20, 2020","25.354","25.005","25.420","24.835","0.16K","1.10%"
"Oct 19, 2020","25.077","25.030","25.220","24.730","0.09K","3.08%"
"Oct 18, 2020","24.328","24.315","24.365","24.262","-","-1.80%"
"Oct 16, 2020","24.774","24.885","24.935","24.745","0.09K","0.76%"
"Oct 15, 2020","24.588","24.590","24.590","24.110","0.30K","-0.86%"
"Oct 14, 2020","24.801","24.660","25.020","24.595","0.23K","1.06%"
"Oct 13, 2020","24.540","25.250","25.620","24.470","0.39K","-4.44%"
"Oct 12, 2020","25.680","25.845","25.905","25.415","0.36K","1.29%"
"Oct 11, 2020","25.352","25.317","25.457","25.200","-","-0.52%"
"Oct 09, 2020","25.485","24.715","25.610","24.700","0.38K","5.23%"
"Oct 08, 2020","24.218","24.455","24.535","24.180","0.29K","-0.28%"
"Oct 07, 2020","24.287","23.990","24.425","23.970","0.35K","0.25%"
"Oct 06, 2020","24.226","24.700","24.700","23.475","0.49K","-2.62%"
"Oct 05, 2020","24.877","24.400","24.535","24.385","0.53K","3.52%"
"Oct 04, 2020","24.030","23.895","24.065","23.830","-","-1.29%"
"Oct 02, 2020","24.345","24.315","24.375","24.150","0.40K","-0.94%"
"Oct 01, 2020","24.576","24.235","24.585","23.975","0.42K","3.17%"
"Sep 30, 2020","23.821","24.135","24.540","23.775","0.56K","-3.74%"
"Sep 29, 2020","24.746","24.115","24.725","24.050","0.07K","3.60%"
"Sep 28, 2020","23.886","23.330","24.100","23.330","0.03K","3.49%"
"Sep 27, 2020","23.080","23.038","23.188","22.995","-","-1.29%"
"Sep 25, 2020","23.381","23.375","23.390","23.010","0.04K","-0.41%"
"Sep 24, 2020","23.478","22.600","23.680","22.215","0.18K","0.23%"
"Sep 23, 2020","23.423","24.650","24.650","23.175","0.21K","-5.77%"
"Sep 22, 2020","24.856","25.600","25.600","24.470","0.12K","0.53%"
"Sep 21, 2020","24.726","26.380","26.380","24.720","0.14K","-8.03%"
"Sep 20, 2020","26.885","27.008","27.008","26.677","-","-2.16%"
"Sep 18, 2020","27.478","27.825","27.900","27.495","0.08K","0.08%"
"Sep 17, 2020","27.456","27.370","27.370","26.775","0.17K","-1.37%"
"Sep 16, 2020","27.838","28.035","28.050","27.435","0.03K","-0.01%"
"Sep 15, 2020","27.840","28.015","28.170","27.730","0.15K","0.37%"
"Sep 14, 2020","27.737","27.430","27.760","27.430","0.14K","2.83%"
"Sep 13, 2020","26.973","26.927","26.995","26.850","-","-0.97%"
"Sep 11, 2020","27.238","27.300","27.315","27.300","0.06K","-1.54%"
"Sep 10, 2020","27.665","27.795","27.885","27.385","0.05K","0.68%"
"Sep 09, 2020","27.477","27.145","27.555","27.145","0.16K","0.27%"
"Sep 08, 2020","27.402","27.720","27.720","26.600","0.11K","1.25%"
"Sep 07, 2020","27.065","27.047","27.380","26.828","-","0.08%"
"Sep 06, 2020","27.043","27.075","27.192","27.010","-","-0.29%"
"Sep 04, 2020","27.123","27.000","27.420","27.000","0.40K","-0.66%"
"Sep 03, 2020","27.303","28.100","28.235","27.080","0.47K","-2.04%"
"Sep 02, 2020","27.871","28.750","28.750","28.095","0.52K","-3.92%"
"Sep 01, 2020","29.008","29.530","29.535","29.530","0.56K","0.09%"
"Aug 31, 2020","28.983","28.890","29.005","28.890","0.32K","2.68%"
"Aug 30, 2020","28.227","27.812","28.462","27.812","-","0.12%"
"Aug 28, 2020","28.194","28.190","28.245","28.190","0.09K","2.02%"
"Aug 27, 2020","27.637","27.990","27.990","27.330","0.05K","-1.40%"
"Aug 26, 2020","28.029","26.945","27.875","26.945","0.06K","4.54%"
"Aug 25, 2020","26.813","27.150","27.150","27.150","0.01K","-1.35%"
"Aug 24, 2020","27.180","27.525","27.525","27.140","0.03K","1.95%"
"Aug 23, 2020","26.660","26.780","26.900","26.540","-","-2.28%"
"Aug 21, 2020","27.282","28.115","28.115","28.115","0.02K","-1.64%"
"Aug 20, 2020","27.738","27.650","27.720","27.650","0.04K","-0.70%"
"Aug 19, 2020","27.934","28.480","28.480","28.480","0.08K","-2.63%"
"Aug 18, 2020","28.689","29.040","29.055","28.630","0.03K","1.56%"
"Aug 17, 2020","28.249","28.000","28.120","27.955","0.15K","7.71%"
"Aug 16, 2020","26.227","26.578","26.885","26.180","-","-1.68%"
"Aug 14, 2020","26.675","27.390","27.775","26.930","0.06K","-5.87%"
"Aug 13, 2020","28.339","27.075","27.770","27.075","0.34K","6.27%"
"Aug 12, 2020","26.666","24.270","26.915","24.270","0.10K","-0.36%"
"Aug 11, 2020","26.762","29.920","29.920","25.700","0.11K","-10.86%"
"Aug 10, 2020","30.023","29.180","30.255","29.180","0.15K","6.28%"
"Aug 09, 2020","28.250","28.355","28.565","27.962","-","-0.52%"
"Aug 07, 2020","28.399","30.470","30.850","28.435","0.14K","-3.15%"
"Aug 06, 2020","29.324","29.050","29.950","28.875","0.14K","5.60%"
"Aug 05, 2020","27.770","26.940","28.050","26.850","0.11K","3.35%"
"Aug 04, 2020","26.869","25.300","26.450","25.295","0.02K","6.45%"
"Aug 03, 2020","25.242","25.225","25.370","25.220","0.19K","1.99%"
"Aug 02, 2020","24.750","24.545","25.267","24.315","-","-1.22%"
"Jul 31, 2020","25.055","24.680","25.370","24.680","0.28K","3.46%"
"Jul 30, 2020","24.218","24.430","24.430","24.040","0.06K","-3.79%"
"Jul 29, 2020","25.173","25.310","25.865","24.950","0.05K","0.26%"
"Jul 28, 2020","25.107","26.820","26.820","24.055","0.06K","-0.75%"
"Jul 27, 2020","25.296","25.130","25.200","25.005","0.07K","8.22%"
"Jul 26, 2020","23.375","22.970","23.440","22.965","-","-1.00%"
"Jul 24, 2020","23.610","23.545","23.820","23.395","0.05K","-0.51%"
"Jul 23, 2020","23.732","23.585","23.585","23.450","0.06K","-0.52%"
"Jul 22, 2020","23.855","23.325","23.965","23.130","0.20K","7.49%"
"Jul 21, 2020","22.192","20.945","22.340","20.945","0.17K","6.60%"
"Jul 20, 2020","20.818","20.485","20.895","20.485","0.07K","5.53%"
"Jul 19, 2020","19.727","19.755","19.760","19.710","-","-3.24%"
"Jul 17, 2020","20.387","20.000","20.395","19.940","0.06K","1.29%"
"Jul 16, 2020","20.127","20.325","20.325","20.325","0.01K","-0.91%"
"Jul 15, 2020","20.312","20.265","20.365","20.265","0.10K","1.23%"
"Jul 14, 2020","20.065","20.100","20.145","19.900","0.07K","-1.50%"
"Jul 13, 2020","20.371","19.905","20.370","19.900","0.12K","6.28%"
"Jul 12, 2020","19.168","19.075","19.203","19.058","-","-2.53%"
"Jul 10, 2020","19.665","19.770","19.770","19.710","0.02K","0.43%"
"Jul 09, 2020","19.580","19.785","20.120","19.600","0.10K","-1.03%"
"Jul 08, 2020","19.783","19.535","19.800","19.535","0.08K","2.30%"
"Jul 07, 2020","19.338","19.245","19.390","19.245","0.31K","0.66%"
"Jul 06, 2020","19.211","19.170","19.345","19.150","0.26K","4.79%"
"Jul 05, 2020","18.332","18.335","18.363","18.300","-","0.09%"
"Jul 03, 2020","18.315","18.250","18.345","18.223","-","-3.27%"
"Jul 02, 2020","18.935","18.840","19.050","18.840","0.31K","0.73%"
"Jul 01, 2020","18.797","19.110","19.335","19.110","0.30K","-1.60%"
"Jun 30, 2020","19.102","18.500","19.105","18.500","0.03K","3.10%"
"Jun 29, 2020","18.528","18.765","18.765","18.575","0.00K","2.90%"
"Jun 28, 2020","18.005","17.878","18.098","17.878","-","-3.37%"
"Jun 26, 2020","18.633","18.725","18.725","18.640","0.01K","0.58%"
"Jun 25, 2020","18.526","18.555","18.555","18.555","0.00K","1.17%"
"Jun 24, 2020","18.311","18.400","18.400","18.255","0.00K","-2.30%"
"Jun 23, 2020","18.743","18.775","18.855","18.775","0.00K","0.84%"
"Jun 22, 2020","18.586","18.675","18.900","18.675","0.02K","3.43%"
"Jun 21, 2020","17.970","17.837","17.983","17.837","-","-3.10%"
"Jun 19, 2020","18.544","18.640","18.640","18.640","0.02K","2.02%"
"Jun 18, 2020","18.176","18.095","18.120","18.050","0.01K","-1.44%"
"Jun 17, 2020","18.442","18.370","18.380","18.370","0.00K","0.82%"
"Jun 16, 2020","18.292","18.335","18.350","18.170","0.16K","1.38%"
"Jun 15, 2020","18.043","18.115","18.115","18.115","0.02K","2.60%"
"Jun 14, 2020","17.585","17.562","17.617","17.510","-","-3.06%"
"Jun 12, 2020","18.140","18.200","18.200","18.200","0.00K","-2.29%"
"Jun 11, 2020","18.566","18.920","18.920","18.920","0.01K","0.54%"
"Jun 10, 2020","18.466","18.555","18.555","18.555","0.12K","-0.23%"
"Jun 09, 2020","18.508","18.525","18.610","18.470","0.00K","-0.76%"
"Jun 08, 2020","18.650","18.350","18.610","18.350","0.15K","6.07%"
"Jun 07, 2020","17.582","17.575","17.595","17.512","-","-3.38%"
"Jun 05, 2020","18.197","18.330","18.350","18.330","0.04K","-2.54%"
"Jun 04, 2020","18.672","18.545","18.645","18.545","0.02K","0.66%"
"Jun 03, 2020","18.550","18.513","18.513","18.513","0.00K","-1.52%"
"Jun 02, 2020","18.837","19.155","19.155","18.785","0.00K","-2.47%"
"Jun 01, 2020","19.314","19.000","19.310","18.910","0.06K","3.38%"
"May 31, 2020","18.683","18.470","18.755","18.470","-","-0.74%"
"May 29, 2020","18.822","18.775","18.810","18.775","0.06K","2.87%"
"May 28, 2020","18.296","18.259","18.259","18.259","0.01K","1.19%"
"May 27, 2020","18.080","18.043","18.043","18.043","0.03K","0.93%"
"May 26, 2020","17.914","17.877","17.877","17.877","0.00K","1.54%"
"May 25, 2020","17.642","17.637","17.685","17.370","-","-0.02%"
"May 24, 2020","17.645","17.675","17.703","17.617","-","-1.97%"
"May 22, 2020","18.000","17.945","17.945","17.890","0.02K","2.08%"
"May 21, 2020","17.633","17.905","17.905","17.740","0.00K","-3.52%"
"May 20, 2020","18.276","18.560","18.560","18.560","0.00K","0.71%"
"May 19, 2020","18.148","18.000","18.000","18.000","0.05K","2.31%"
"May 18, 2020","17.739","17.650","18.120","17.650","0.01K","2.30%"
"May 17, 2020","17.340","17.110","17.400","17.110","-","0.05%"
"May 15, 2020","17.332","17.170","17.320","17.170","0.03K","5.46%"
"May 14, 2020","16.435","16.360","16.360","16.360","0.00K","2.80%"
"May 13, 2020","15.988","15.930","15.930","15.930","0.01K","-0.41%"
"May 12, 2020","16.054","16.020","16.020","16.020","35.61K","0.37%"
"May 11, 2020","15.995","15.895","15.980","15.895","0.00K","0.88%"
"May 10, 2020","15.855","15.790","15.870","15.750","-","-1.39%"
"May 08, 2020","16.079","16.045","16.045","16.045","0.00K","1.18%"
"May 07, 2020","15.891","15.857","15.857","15.857","0.00K","3.69%"
"May 06, 2020","15.325","15.290","15.290","15.290","0.00K","-0.55%"
"May 05, 2020","15.410","15.435","15.530","15.430","0.01K","2.00%"
"May 04, 2020","15.108","15.105","15.130","15.035","0.04K","0.92%"
"May 03, 2020","14.970","15.010","15.120","14.805","-","-2.05%"
"May 01, 2020","15.283","15.245","15.250","15.245","0.01K","-0.12%"
"Apr 30, 2020","15.302","15.760","15.760","15.495","0.01K","-1.82%"
"Apr 29, 2020","15.586","15.880","16.080","15.880","0.00K","0.10%"
"Apr 28, 2020","15.570","15.420","15.420","15.420","0.03K","0.45%"
"Apr 27, 2020","15.501","15.570","15.570","15.460","0.03K","0.89%"
"Apr 26, 2020","15.365","15.350","15.390","15.290","-","-1.45%"
"Apr 24, 2020","15.591","15.880","15.885","15.880","0.01K","-0.52%"
"Apr 23, 2020","15.672","15.638","15.638","15.638","0.03K","0.13%"
"Apr 22, 2020","15.651","15.617","15.617","15.617","15.04K","3.47%"
"Apr 21, 2020","15.126","15.140","15.140","15.025","0.00K","-4.77%"
"Apr 20, 2020","15.884","15.895","15.895","15.610","0.03K","4.19%"
"Apr 19, 2020","15.245","15.290","15.355","15.235","-","-2.27%"
"Apr 17, 2020","15.599","15.755","15.755","15.540","0.06K","-2.20%"
"Apr 16, 2020","15.950","15.905","15.930","15.875","0.01K","0.69%"
"Apr 15, 2020","15.840","15.865","15.865","15.840","0.01K","-4.20%"
"Apr 14, 2020","16.535","16.470","16.470","16.470","0.03K","3.63%"
"Apr 13, 2020","15.956","15.675","15.795","15.675","0.01K","1.21%"
"Apr 12, 2020","15.765","15.865","15.973","15.732","-","-0.94%"
"Apr 10, 2020","15.915","15.915","15.915","15.915","-","-3.42%"
"Apr 09, 2020","16.478","16.444","16.444","16.444","0.02K","6.12%"
"Apr 08, 2020","15.528","15.494","15.494","15.494","0.15K","-1.23%"
"Apr 07, 2020","15.721","15.800","15.800","15.690","0.17K","2.29%"
"Apr 06, 2020","15.369","15.015","15.015","15.015","0.00K","5.77%"
